Serial	Description	Category
n10379376	"opportunist, self-seeker"	n10576962
n10380499	Orangeman	n09679316
n10380672	"orator, speechmaker, rhetorician, public speaker, speechifier"	n10630188
n10381369	"orderer, systematizer, systematiser, systemizer, systemiser, systematist"	n10383237
n10381804	"orderly, hospital attendant"	n09821831
n10382302	ordinand	n09927451
n10382480	ordinary	n09927451
n10382597	organ donor	n10026058
n10382825	organist	n10340312
n10384214	"ornithologist, bird watcher"	n10806222
n10384935	orthoepist	n10426630
n10387936	outpatient	n10405694
n10388082	outrider	n09863031
n10388732	"overseer, superintendent"	n10676877
n10388924	"owner, proprietor"	n09882007
n10389976	oyabun	n10676877
n10390427	"packer, bagger, boxer"	n10791221
n10391086	"page, varlet"	n09821831
n10391248	page	n09821831
n10391416	"page, pageboy"	n10311375
n10394329	palatine	n09717047
n10396727	paparazzo	n10426749
n10396908	paperboy	n10001217
n10397001	"paperhanger, paperer"	n09974648
n10397886	"paralegal, legal assistant"	n10398624
n10398176	"paramedic, paramedical"	n10398624
n10398370	"paranoid, paranoiac"	n10490141
n10400437	"Parliamentarian, Member of Parliament"	n10253995
n10401639	"partaker, sharer"	n10401829
n10403366	party girl	n10129825
n10404426	passer	n10703692
n10404998	paster	n10791221
n10405229	past master	n10298482
n10406072	patrial	n09700964
n10406266	patriarch	n10375506
n10406391	patriarch	n10102800
n10407726	"patron, frequenter"	n09984659
n10408438	"patroness, patronne"	n10407954
n10408939	patzer	n09915834
n10409161	pavement artist	n10029068
n10409459	pawnbroker	n10254392
n10413688	penetrator	n10213652
n10414084	penny pincher	n10178611
n10414507	"penpusher, pencil pusher"	n09928451
n10414612	"pensioner, pensionary"	n09850121
n10414865	"Pentecostal, Pentecostalist"	n09679316
n10415037	percussionist	n10340312
n10416364	peri	n10129825
n10416828	perisher	n09886220
n10417424	personality	n09903153
n10417551	personal representative	n10522035
n10419047	"pervert, deviant, deviate, degenerate"	n10522324
n10420507	"pet sitter, critter sitter"	n09984298
n10421470	"pharmacist, druggist, chemist, apothecary, pill pusher, pill roller"	n10165109
n10421956	"philanthropist, altruist"	n10025730
n10422759	Philippian	n09721444
n10423225	"philologist, philologue"	n10191192
n10427103	photographer's model	n10324560
n10427223	photojournalist	n10224578
n10430665	"pianist, piano player"	n10340312
n10431770	picket	n10002760
n10432189	"picnicker, picknicker"	n10042300
n10432674	"Pilgrim, Pilgrim Father"	n10583387
n10433164	"pilot, airplane pilot"	n09826204
n10434160	pinch hitter	n10671042
n10434424	pioneer	n10583387
n10435041	"piper, bagpiper"	n10340312
n10435169	pipe smoker	n10614976
n10435988	"pitcher, hurler, twirler"	n09835506
n10436707	"pivot, pivot man"	n10293332
n10438470	plant	n09765278
n10439523	platitudinarian	n09867437
n10440387	player	n10401829
n10441410	pledge	n10307234
n10442232	"plodder, slowpoke, stick-in-the-mud, slowcoach"	n09993252
n10442573	"plotter, mapper"	n09928451
n10443032	"plumber, pipe fitter"	n09974648
n10443659	pluralist	n10423589
n10447255	poetess	n10444194
n10447585	poet laureate	n10444194
n10447924	pointillist	n10391653
n10448983	"policeman, police officer, officer"	n10249459
n10449521	"police sergeant, sergeant"	n10249459
n10452151	polyandrist	n10452260
n10452432	polygynist	n10452260
n10452535	polytheist	n09848110
n10452631	pomologist	n09868270
n10453533	"pope, Catholic Pope, Roman Catholic Pope, pontiff, Holy Father, Vicar of Christ, Bishop of Rome"	n09679925
n10454645	popinjay	n10047459
n10455619	"portraitist, portrait painter, portrayer, limner"	n10391653
n10456874	poster boy	n10456950
n10457214	poster girl	n10456950
n10457597	postulator	n09927451
n10458834	provincial	n10372373
n10459116	"postal clerk, mail clerk"	n09928451
n10459212	"postilion, postillion"	n10185793
n10459414	"Postimpressionist, Post-impressionist"	n10391653
n10459575	postmaster	n10298647
n10459764	postmaster general	n10372373
n10460501	pothunter	n10193026
n10460806	"potter, thrower, ceramicist, ceramist"	n09974648
n10461060	"poultryman, poulterer"	n10309896
n10463259	"Praetorian Guard, Praetorian"	n09863031
n10463943	prattler	n10630188
n10464178	"preacher, preacher man, sermonizer, sermoniser"	n09927451
n10465128	prefect	n09770472
n10465922	Presbyterian	n09679316
n10466564	presentist	n10705615
n10467052	preserver	n09963320
n10469511	pre-Socratic	n10423589
n10469874	press photographer	n10426749
n10470132	preterist	n10705615
n10472129	"primigravida, gravida I"	n10144838
n10473273	Elector	n10472799
n10473453	prince charming	n10674130
n10473562	prince consort	n10472799
n10473718	princeling	n10472799
n10473789	princeling	n10472799
n10473917	Prince of Wales	n10472799
n10474343	princess royal	n10474064
n10474645	"principal, school principal, head teacher, head"	n10045713
n10475584	printer's devil	n09801864
n10475940	prior	n10675876
n10476671	"private detective, PI, private eye, private investigator, operative, shamus, sherlock"	n10009484
n10477839	probation officer	n10371450
n10478293	proconsul	n10140314
n10478462	proconsul	n10372373
n10478960	"proctor, monitor"	n10676877
n10479493	procuress	n10433737
n10482220	"promoter, booster, plugger"	n09773962
n10482768	"proofreader, reader"	n10475297
n10483274	propagator	n09868270
n10483395	"property man, propman, property master"	n10645392
n10483530	"prophet, prophesier, oracle, seer, vaticinator"	n10020031
n10484858	"prosecutor, public prosecutor, prosecuting officer, prosecuting attorney"	n10249950
n10486166	protegee	n10485989
n10486236	protozoologist	n10806222
n10486679	"prowler, sneak, stalker"	n10213652
n10487592	psephologist	n10620758
n10489564	"sociopath, psychopath"	n10354898
n10490421	"publican, tavern keeper"	n09841188
n10490557	public defender	n10249950
n10491869	puddler	n10216928
n10494037	purist	n10411356
n10494373	Puritan	n09679316
n10494778	"pursued, chased"	n10192926
n10495299	purveyor	n10677271
n10495756	"pusher, thruster"	n10213652
n10496081	putter	n10136959
n10496193	"putterer, potterer"	n09993252
n10496825	pyromancer	n10020031
n10497775	quaestor	n10372373
n10497946	quaffer	n10034614
n10499355	"queen, queen regnant, female monarch"	n10083823
n10499857	queen	n10083823
n10501635	quietist	n10343554
n10502950	"racist, racialist"	n09853645
n10503138	racker	n09821831
n10503710	radio announcer	n09795124
n10504664	"ragamuffin, tatterdemalion"	n10741367
n10505816	"Rajput, Rajpoot"	n09713501
n10507070	"ranter, raver"	n10630188
n10507230	"raper, rapist"	n09821253
n10508008	"rat-catcher, disinfestation officer"	n10791221
n10508141	ratepayer	n10694163
n10509161	realist	n10423589
n10509389	realist	n10391653
n10509810	"real estate broker, real estate agent, estate agent, land agent, house agent"	n09777012
n10510818	"receiver, pass receiver, pass catcher"	n10101634
n10510974	receiver	n10701180
n10511069	receptionist	n10569744
n10511771	reciter	n10630188
n10511856	"record-breaker, record-holder"	n09906704
n10512109	recorder player	n10340312
n10512201	"recruit, enlistee"	n10355449
n10512562	recruiter	n10372373
n10512708	recruiter	n10677271
n10513120	"redact, redactor, reviser, rewriter, rewrite man"	n10044879
n10514121	reenactor	n09765278
n10514643	referee	n10249950
n10516016	refugee	n10071332
n10516874	"registrar, record-keeper, recorder"	n10372373
n10517826	regulator	n10372373
n10519126	"anchorite, hermit"	n10518945
n10519884	remittance man	n10071332
n10520544	renegade	n10006842
n10521100	"repairman, maintenance man, service man"	n10308732
n10522956	"research director, director of research"	n10676877
n10524076	resident commissioner	n10522035
n10525785	retreatant	n10401829
n10525878	returning officer	n10372373
n10526300	"drunken reveler, drunken reveller, bacchanal, bacchant"	n10034201
n10528295	Rhodes scholar	n10558773
n10528816	rhythm and blues musician	n10340312
n10528969	ribald	n10761693
n10530677	rifleman	n10294953
n10530769	rigger	n09974648
n10530862	"rigger, oil rigger"	n10374541
n10531694	ring girl	n10129825
n10531838	ringleader	n10209246
n10532479	Rip van Winkle	n10721124
n10533681	road builder	n09878275
n10533874	"roadman, road mender"	n10791221
n10534277	roaster	n09963320
n10534389	roaster	n09979072
n10535604	"rock climber, cragsman"	n09929298
n10535881	"rocker, rock 'n' roll musician"	n10340312
n10536021	rocker	n09821831
n10537107	roller-skater	n10604491
n10538272	roofer	n09974648
n10538629	"ropemaker, rope-maker, roper"	n09974648
n10539160	rosebud	n10129825
n10539278	Rosicrucian	n10307234
n10539462	Rosicrucian	n10307234
n10539616	Rotarian	n10307234
n10540413	roughrider	n10185793
n10540735	roundsman	n10791221
n10542054	rug merchant	n10309896
n10543420	running mate	n09889691
n10544940	"sachem, sagamore"	n10203298
n10548227	"salesclerk, shop clerk, clerk, shop assistant"	n10548681
n10548419	"salesgirl, saleswoman, saleslady"	n10548681
n10548537	salesman	n10548681
n10549062	"salter, salt merchant"	n10309896
n10549648	Samaritan	n09715685
n10549925	sandbagger	n09998101
n10552019	Saracen	n10359759
n10552203	Saracen	n09729530
n10552285	Sardinian	n09716047
n10552486	"Satanist, diabolist"	n10010525
n10553140	satrap	n10140314
n10554243	"saxophonist, saxist"	n10340312
n10555430	"scapegrace, black sheep"	n10522324
n10556033	scene painter	n10393909
n10556124	"sceneshifter, shifter"	n10645392
n10556235	scene-stealer	n09765278
n10556401	"scenic artist, scene painter"	n10391653
n10556704	schizophrenic	n10490141
n10557246	"schlockmeister, shlockmeister"	n10309896
n10557404	"schmuck, shmuck, schmo, shmo"	n10221040
n10558896	Scholastic	n10423589
n10559192	schoolboy	n10559288
n10559996	schoolmaster	n10045713
n10561613	"scoffer, gorger"	n10042300
n10563826	scratcher	n10791221
n10564098	"screen actor, movie actor"	n09765278
n10564224	screener	n10150071
n10564400	"screenwriter, film writer"	n10564905
n10564660	"scribe, scribbler, penman"	n10224578
n10564800	scrimshanker	n10608385
n10565302	"scrutinizer, scrutiniser"	n10067968
n10565502	"scrutineer, canvasser"	n10067968
n10565764	sculler	n10368920
n10566893	sculptress	n10566072
n10566966	Scythian	n10359759
n10567268	sealer	n10372373
n10567401	searcher	n10372373
n10567848	seasoner	n09963320
n10568083	second	n09821831
n10568608	"second fiddle, second banana"	n10669991
n10568754	second hand	n09624559
n10568915	second-in-command	n10005280
n10570429	"Attorney General, United States Attorney General, US Attorney General"	n10570019
n10570704	"Secretary of Agriculture, Agriculture Secretary"	n10570019
n10570961	"Secretary of Commerce, Commerce Secretary"	n10570019
n10571202	"Secretary of Defense, Defense Secretary"	n10570019
n10571435	"Secretary of Education, Education Secretary"	n10570019
n10571670	"Secretary of Energy, Energy Secretary"	n10570019
n10571907	Secretary of Health and Human Services	n10570019
n10572185	Secretary of Housing and Urban Development	n10570019
n10572469	"Secretary of Labor, Labor Secretary"	n10570019
n10572706	Secretary of State	n10570019
n10572889	"Secretary of the Interior, Interior Secretary"	n10570019
n10573129	"Secretary of the Treasury, Treasury Secretary"	n10570019
n10573349	"Secretary of Transportation, Transportation Secretary"	n10570019
n10573596	Secretary of Veterans Affairs	n10570019
n10573829	Secretary General	n09770472
n10573957	"sectarian, sectary, sectarist"	n09853645
n10574723	"secundigravida, gravida II"	n10144838
n10574840	security consultant	n09774266
n10574958	security director	n09770949
n10576316	"segregator, segregationist"	n09853645
n10576513	seismologist	n10128519
n10577284	"seller, marketer, vender, vendor, trafficker"	n10309896
n10578349	"semiprofessional, semipro"	n10480583
n10578471	senator	n10253995
n10580535	"serf, helot, villein"	n10709435
n10581094	"sergeant at arms, serjeant-at-arms"	n10371450
n10581772	sericulturist	n10292316
n10583250	servitor	n09821831
n10583790	settler	n09928451
n10584021	"settlor, trustor"	n10025730
n10584318	sewer	n10351281
n10584729	"sex kitten, sexpot, sex bomb"	n10129825
n10584973	sex offender	n09963159
n10585628	shaheed	n10296618
n10587227	shearer	n10791221
n10587378	"shedder, spiller"	n09821253
n10587536	she-devil	n10739636
n10587806	sheepman	n10658501
n10588182	shegetz	n09679028
n10588519	"sheika, sheikha"	n10780632
n10588965	shepherd	n09927451
n10589140	sheriff	n10249459
n10589785	ship broker	n09777012
n10589930	"shipbuilder, ship builder"	n09878275
n10590537	shipping clerk	n09928451
n10592049	shop girl	n10129825
n10592152	"shopkeeper, tradesman, storekeeper, market keeper"	n10309896
n10592397	shopper	n09984659
n10594147	"shrew, termagant"	n10739636
n10594284	"Shudra, Sudra"	n09713501
n10594523	shuffler	n09894654
n10594634	shutterbug	n10059582
n10596272	side judge	n10101427
n10597642	sign painter	n10393909
n10597889	signora	n10780632
n10598181	signorina	n10739512
n10598749	"silversmith, silverworker, silver-worker"	n10221956
n10599806	"singer, vocalist, vocalizer, vocaliser"	n10340312
n10601362	sipper	n10034614
n10601526	Sir	n10285135
n10602258	sister	n10307234
n10602470	Sister	n10368009
n10602985	"sister, sis"	n10084181
n10603851	sitar player	n10340312
n10604380	skateboarder	n10604491
n10604880	sketcher	n10029068
n10605375	ski jumper	n10226803
n10605737	skinny-dipper	n10683349
n10607933	"skivvy, slavey"	n10024119
n10608803	"slapper, spanker"	n10178216
n10609092	slasher	n09821253
n10610850	sleeper	n10544748
n10611613	"sleuth, sleuthhound"	n10009484
n10611729	slicer	n10136959
n10612210	"slob, sloven, pig, slovenly person"	n10761693
n10613052	small businessman	n09882007
n10615808	snarer	n10193026
n10616899	sniper	n10294953
n10617193	"snoop, snooper"	n10642151
n10618234	sob sister	n10224578
n10618465	"social anthropologist, cultural anthropologist"	n09796323
n10618685	"social climber, climber"	n10740868
n10619176	"collectivist, leftist, left-winger"	n10618848
n10619888	social secretary	n10569744
n10620027	"social worker, caseworker, welfare worker"	n10491136
n10621140	sod	n10153414
n10621400	sodalist	n10307234
n10623175	solicitor	n10249950
n10623533	solicitor general	n10249459
n10623650	soloist	n10340312
n10625000	sonneteer	n10444194
n10625099	Sophist	n10423589
n10626194	"shaman, priest-doctor"	n10471250
n10626867	sorter	n09928451
n10626994	soubrette	n10129825
n10627557	soundman	n10696251
n10631131	native speaker	n10630188
n10635275	"spender, disburser, expender"	n09984659
n10635460	"spendthrift, spend-all, spender, scattergood"	n10479561
n10636488	"spinster, old maid"	n10739512
n10637635	"splitter, divider"	n10693824
n10637961	spoiler	n09889691
n10638813	sponger	n10791221
n10639359	"sporting man, outdoor man"	n09786760
n10639637	"sports announcer, sportscaster, sports commentator"	n09795124
n10639925	"sports fan, fan, rooter"	n10059582
n10640084	"sports writer, sportswriter"	n10224578
n10641413	sprinter	n10542888
n10642388	spymaster	n10298647
n10643095	squatter	n10213652
n10643218	"squatter, homesteader, nester"	n10583387
n10643476	squaw man	n09641002
n10643837	squire	n10245639
n10643937	squire	n09821831
n10644062	"squire, gallant"	n09821831
n10644179	stabber	n09821253
n10645611	"stage manager, stager"	n10676877
n10646433	stalker	n10193026
n10646641	stalking-horse	n09889691
n10646780	"stammerer, stutterer"	n10630188
n10647168	stamper	n10791221
n10648696	"star, principal, lead"	n09765278
n10649047	starets	n09774266
n10649724	starveling	n10409011
n10652511	stateswoman	n10650162
n10652703	"stationer, stationery seller"	n10309896
n10652837	"stationmaster, station agent"	n10298647
n10653529	steamfitter	n09974648
n10654015	"stenographer, amanuensis, shorthand typist"	n10569744
n10654211	stentor	n10630188
n10654461	stepchild	n09918248
n10654701	stepfather	n10081670
n10655594	"steward, flight attendant"	n09821831
n10656832	stinter	n10044470
n10656969	"stipendiary, stipendiary magistrate"	n10280945
n10657165	stippler	n10393909
n10657444	stockbroker	n09777012
n10658122	stockholder of record	n10657969
n10658304	stockist	n10677271
n10658676	Stoic	n10423589
n10659188	stone breaker	n09873604
n10659393	"stoner, lapidator"	n09821253
n10660729	"straggler, strayer"	n09993252
n10661002	"stranger, alien, unknown"	n10213652
n10661464	straphanger	n09945745
n10662952	"street urchin, guttersnipe"	n10741367
n10663315	"streetwalker, street girl, hooker, hustler, floozy, floozie, slattern"	n10485440
n10663549	"stretcher-bearer, litter-bearer"	n09821831
n10664076	striper	n10582746
n10664850	stroke	n10368920
n10666615	stuffed shirt	n09867437
n10669125	subjugator	n09956578
n10670310	"subscriber, contributor"	n10025730
n10670483	"subscriber, reader"	n09984659
n10670885	"subsidizer, subsidiser"	n10025730
n10672066	sucker	n10034614
n10672192	"suer, petitioner"	n10437852
n10673946	suit	n09882007
n10674471	Sumerian	n09640220
n10675142	sundowner	n10744544
n10675481	"supergrass, grass"	n10206173
n10676319	supermodel	n10291240
n10676569	"supernumerary, spear carrier, extra"	n09765278
n10678937	supremo	n09853881
n10680796	surveyor	n10652954
n10681557	"sutler, victualer, victualler, provisioner"	n10677271
n10682599	sweater girl	n10129825
n10683927	"swing voter, floating voter"	n10760340
n10684146	"switcher, whipper"	n10379758
n10686885	syndic	n09777012
n10687025	syndicator	n09882007
n10687135	synonymist	n10256080
n10688238	tackler	n10101634
n10689784	taker	n09984659
n10690095	talking head	n10630188
n10690268	"tallyman, tally clerk"	n09928451
n10690538	tamer	n10159045
n10690742	tanner	n09974648
n10691148	"tap dancer, tapper"	n09989502
n10691318	"tapper, wiretapper, phone tapper"	n10042690
n10692269	taskmaster	n10676877
n10693334	taxi dancer	n09989502
n10693459	"taxidermist, animal stuffer, stuffer"	n09974648
n10694258	"teacher, instructor"	n10045713
n10695917	"techie, tekki"	n10696251
n10696888	technophile	n10078131
n10697013	technophobe	n10349551
n10698970	"teller, cashier, bank clerk"	n09837824
n10699099	"teller, vote counter"	n10372373
n10701096	tennis coach	n09931640
n10701644	"tennis pro, professional tennis player"	n10701180
n10702483	"terror, brat, little terror, holy terror"	n10200047
n10703221	"tertigravida, gravida III"	n10144838
n10704712	"Texas Ranger, Ranger"	n10249459
n10707616	Thessalian	n09710164
n10707707	Thessalonian	n09710164
n10711370	timekeeper	n09928451
n10712374	"tinsmith, tinner"	n10614812
n10712573	tipper	n10025730
n10712690	"tippler, social drinker"	n10034201
n10712835	"tipster, tout"	n09774266
n10713367	toast	n09903153
n10713843	toast mistress	n10713686
n10714054	Tobagonian	n10774440
n10714195	tobogganist	n10610333
n10715030	"tomboy, romp, hoyden"	n10129825
n10715447	top banana	n09940146
n10716005	"tormentor, tormenter, persecutor"	n10379758
n10716389	torturer	n10379758
n10716698	Tory	n10531227
n10717772	touch-typist	n10735173
n10718349	"tout, touter"	n09773962
n10718509	"tout, ticket tout"	n10554846
n10718794	"tower of strength, pillar of strength"	n10407954
n10719036	town clerk	n10372373
n10719395	townee	n10719267
n10719573	"townie, towny"	n10719267
n10720097	tracker	n10193026
n10720453	"trader, bargainer, dealer, monger"	n10309896
n10721612	tragedian	n09765278
n10722029	trail boss	n10676877
n10722239	trainbearer	n09821831
n10723300	"tramp, hobo, bum"	n10744544
n10723597	transactor	n09882007
n10723873	transcendentalist	n10423589
n10724132	transcriber	n10426454
n10724999	transferor	n10724699
n10725438	transmigrante	n09720256
n10725613	transplanter	n10120533
n10726233	trapper	n10193026
n10726388	"Trappist, Cistercian"	n10112129
n10726669	travel agent	n09777012
n10727171	trawler	n10093658
n10727623	tree hugger	n10060621
n10728361	"trial attorney, trial lawyer"	n10249950
n10728624	tribesman	n10307234
n10730262	triumvir	n09770472
n10730416	"trombonist, trombone player"	n10340312
n10730820	trophy wife	n10780632
n10732010	"trumpeter, cornetist"	n10340312
n10732521	trusty	n09962966
n10732967	tumbler	n10153594
n10733891	"tv announcer, television announcer"	n09795124
n10734741	two-timer	n09998101
n10736602	"undergraduate, undergrad"	n09937056
n10736788	undersecretary	n10570019
n10737103	"understudy, standby"	n09765278
n10737717	undoer	n10575089
n10738111	unicyclist	n10411163
n10738515	union representative	n10522035
n10740482	upholsterer	n09974648
n10740732	upstager	n09765278
n10742111	"usher, doorkeeper"	n10372373
n10742384	"usurer, loan shark, moneylender, shylock"	n10586674
n10742881	utility man	n10791221
n10742997	utility man	n09835506
n10743543	utterer	n09998101
n10743941	"uxor, ux."	n10780632
n10744078	uxoricide	n10193967
n10744456	vaccinee	n10405694
n10744844	Vaisya	n09713501
n10745332	"valet, valet de chambre, gentleman, gentleman's gentleman, man"	n09863238
n10745770	valley girl	n10129825
n10747119	vegetarian	n10042300
n10747672	venter	n10630188
n10748142	"venturer, merchant-venturer"	n10309896
n10749353	"veteran, vet, ex-serviceman"	n10582746
n10749528	"veteran, veteran soldier"	n10582746
n10749928	"vibist, vibraphonist"	n10340312
n10750188	vicar	n09927451
n10750365	vicar	n09927451
n10750640	vicar-general	n10005280
n10750911	vice chairman	n10468962
n10751026	vice chancellor	n09770949
n10751710	vice-regent	n10005280
n10751785	"viceroy, vicereine"	n10140314
n10752020	vicereine	n10780632
n10754189	"vintner, wine merchant"	n10309896
n10754578	"violinist, fiddler"	n10340312
n10755080	violist	n10340312
n10755394	virologist	n10313580
n10755512	virtuoso	n10339966
n10756061	viscountess	n10780632
n10757817	vitalist	n09848489
n10758121	viticulturist	n09779790
n10758337	"vixen, harpy, hellcat"	n10739636
n10758445	vizier	n10372373
n10758589	vociferator	n10630188
n10758847	voicer	n10630188
n10759331	"volunteer, military volunteer, voluntary"	n10582746
n10759982	votary	n10471250
n10763245	wailer	n10630188
n10763383	"waiter, server"	n10013614
n10763985	"waker, rouser, arouser"	n09821831
n10764622	walk-on	n09765278
n10765098	walloper	n10178216
n10767154	warden	n10249459
n10767265	warder	n10249459
n10767519	"warehouser, warehouseman"	n10791221
n10768148	warrantee	n09984659
n10768810	war widow	n10780284
n10769321	"wassailer, carouser"	n10034201
n10769459	"wastrel, waster"	n10479561
n10770059	"watchman, watcher, security guard"	n10150071
n10770433	"water dog, water rat"	n10546633
n10770545	"watercolorist, watercolourist"	n10391653
n10770891	"water witch, dowser, rhabdomancer"	n10020031
n10772092	"weatherman, weather forecaster"	n10312287
n10772190	weaver	n09974648
n10772289	webmaster	n10696251
n10772392	wedding guest	n10150940
n10773277	weigher	n10372373
n10773665	welder	n09974648
n10773901	welterweight	n10477077
n10774223	wencher	n09772746
n10774756	West-sider	n09744679
n10775003	wetter	n10791221
n10775536	wheeler	n10293332
n10776766	"whip, party whip"	n10253995
n10777299	whisperer	n10630188
n10778148	"Carmelite, White Friar"	n10111903
n10778345	"Dominican, Black Friar, Blackfriar, friar preacher"	n10111903
n10778553	"Franciscan, Grey Friar"	n10111903
n10778711	Augustinian	n10111903
n10779416	white slave	n10485440
n10779504	white slaver	n10610201
n10779897	"whoremaster, whoremonger"	n10433737
n10779995	"whoremaster, whoremonger, john, trick"	n09984659
n10780185	wicket-keeper	n09977326
n10782135	wing	n10179291
n10783240	"window dresser, window trimmer"	n09974648
n10784113	"wise guy, smart aleck, wiseacre, wisenheimer, weisenheimer"	n10741152
n10784281	junior	n10740868
n10784795	withdrawer	n10005006
n10785203	withdrawer	n10035952
n10786033	"witness, witnesser, informant"	n10630188
n10787197	"wolf, woman chaser, skirt chaser, masher"	n10789118
n10790192	"woodworker, woodsman, woodman"	n09974648
n10791115	working girl	n10129825
n10793019	wrester	n10492447
n10793492	wretch	n10522324
n10793570	wright	n09974648
n10793799	"write-in candidate, write-in"	n09889691
n10802043	"yachtsman, yachtswoman"	n10546633
n10802147	"yanker, jerker"	n10492447
n10802953	yardman	n10722758
n10803031	"yardmaster, trainmaster, train dispatcher"	n10017422
n10803691	"yeoman, yeoman of the guard, beefeater"	n09863031
n10803978	yogi	n10423589
n10804732	Young Turk	n10210137
n10806113	zoo keeper	n09984298
n10912626	"Coue, Emile Coue"	n10489944
n11012993	"Gray, Louis Harold Gray"	n10503818
n11241455	"Polycarp, Saint Polycarp, St. Polycarp"	n10296832
n11242849	"Popper, Karl Popper, Sir Karl Raimund Popper"	n10423589
n09532942	Buddha	n10546850
n09608520	"behaviorist, behaviourist"	n10488865
n09609155	benefactress	n09608709
n09610093	coadjutor	n09815790
n09612131	contestee	n10782940
n09612700	contrarian	n10216106
n09613118	contadino	n10078806
n09613559	coon	n10544232
n09616573	"enologist, oenologist, fermentologist"	n10631941
n09617577	experimenter	n10523076
n09624559	"mediator, go-between, intermediator, intermediary, intercessor"	n10351874
n09625309	naprapath	n10707233
n09627807	"prize winner, lottery winner"	n10782791
n09629643	ticket holder	n10180178
n09635635	"Afrikaner, Afrikander, Boer"	n09731436
n09637013	"African-American, African American, Afro-American, Black American"	n09738708
n09637211	Black man	n10287213
n09637339	Black woman	n10787470
n09639543	"Abkhaz, Abkhazian, Abkhas, Abkhasian"	n09639382
n09640220	Babylonian	n09639919
n09640327	"Chaldean, Chaldaean, Chaldee"	n09639919
n09640490	Assyrian	n09639919
n09640859	Phoenician	n09639919
n09641002	white man	n10287213
n09641130	white woman	n10787470
n09641226	"white trash, poor white trash"	n10453357
n09642821	Asian American	n09738708
n09642917	"coolie, cooly"	n09641757
n09643078	"Oriental, oriental person"	n09641757
n09644332	Tatar	n09728403
n09644518	"Udmurt, Votyak"	n09728403
n09646608	"Algonquian, Algonquin"	n09645091
n09647473	Anasazi	n09645091
n09647834	"Athapaskan, Athapascan, Athabaskan, Athabascan"	n09645091
n09648309	"Mayan, Maya"	n09645091
n09648743	Nahuatl	n09645091
n09649067	Olmec	n09645091
n09649372	"Zapotec, Zapotecan"	n09645091
n09649554	"Plains Indian, Buffalo Indian"	n09645091
n09652149	Chickasaw	n09645091
n09653295	Coeur d'Alene	n09645091
n09654079	Creek	n09645091
n09655709	Haida	n09645091
n09656673	"Hokan, Hoka"	n09645091
n09657887	Iroquois	n09645091
n09662038	"Muskhogean, Muskogean"	n09645091
n09665545	Penutian	n09645091
n09666622	Pueblo	n09645091
n09667205	"Redskin, Injun, red man"	n09645091
n09667358	Salish	n09645091
n09668729	"Shoshone, Shoshoni"	n09645091
n09670280	Taracahitian	n09645091
n09670637	Tlingit	n09645091
n09671453	Wakashan	n09645091
n09673495	Indian	n09641757
n09678747	"Adventist, Second Adventist"	n09678009
n09678917	gentile	n09678009
n09679028	"gentile, non-Jew, goy"	n09678009
n09679316	Protestant	n09678009
n09679708	"Friend, Quaker"	n09678009
n09679925	Catholic	n09678009
n09680908	Old Catholic	n09678009
n09681234	Copt	n09678009
n09682803	Islamist	n09682291
n09682967	Almoravid	n09850317
n09683180	Jihadist	n09682291
n09683306	"Shiite, Shi'ite, Shiite Muslim, Shi'ite Muslim, Shia Muslim"	n09682291
n09683559	"Sunnite, Sunni, Sunni Muslim"	n09682291
n09683924	Zen Buddhist	n10016103
n09684082	Mahayanist	n10016103
n09684226	Hinayanist	n10016103
n09684352	Lamaist	n10016103
n09684476	Tantrist	n10016103
n09684901	swami	n09684609
n09685006	chela	n09684609
n09685085	Jainist	n10016103
n09685233	Hare Krishna	n09684609
n09685398	Shaktist	n09684609
n09685564	Shivaist	n09684609
n09685711	Vaishnava	n09684609
n09685806	Shintoist	n10016103
n09685922	"Rastafarian, Rasta"	n10016103
n09686051	Mithraist	n10016103
n09686146	Zoroastrian	n10016103
n09686262	Eurafrican	n09686536
n09686401	Eurasian	n09686536
n09687775	sahib	n09686536
n09688008	"Celt, Kelt"	n09686536
n09688804	Frank	n09686536
n09689152	Teuton	n09686536
n09689435	"Afghan, Afghanistani"	n09641757
n09689958	Albanian	n09686536
n09690208	Altaic	n09641757
n09690371	Armenian	n09641757
n09690496	Andorran	n09686536
n09690762	Angolese	n09690621
n09691604	Austrian	n09686536
n09691994	Bangladeshi	n09641757
n09692250	Basque	n09686536
n09692430	Bengali	n09641757
n09692915	Herero	n09692624
n09693100	Hutu	n09692624
n09693244	"Luba, Chiluba"	n09692624
n09693372	Sotho	n09692624
n09693618	"Tswana, Bechuana, Batswana"	n09692624
n09693809	"Tutsi, Watutsi, Watusi"	n09692624
n09694109	Belgian	n09686536
n09694529	"Bhutanese, Bhutani"	n09641757
n09695132	Tupi	n09726621
n09695257	Guarani	n09726621
n09695379	Maraco	n09726621
n09695620	Bulgarian	n09686536
n09695747	Burmese	n09641757
n09695979	"Byelorussian, Belorussian, White Russian"	n09686536
n09696124	Byzantine	n09641757
n09696280	"Cambodian, Kampuchean"	n09641757
n09698108	Chinese	n09641757
n09699020	"Cypriot, Cypriote, Cyprian"	n09686536
n09699200	"Czechoslovakian, Czechoslovak, Czech"	n09686536
n09699403	Czech	n09686536
n09699536	Slovak	n09686536
n09699642	Dane	n09686536
n09700253	East Indian	n09641757
n09700706	Copt	n09700492
